Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376484061;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	188741.6;	0.0;	8.066666666666666;	0.0;	0.06666666666666667
1376484361;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	218101.6;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376484661;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	202721.86666666667;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376484961;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	209712.8;	0.0;	9.133333333333333;	0.0;	0.6
1376485261;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	163576.0;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376485561;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	163576.26666666666;	0.0;	7.533333333333333;	0.0;	0.3333333333333333
1376485861;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	184546.4;	0.0;	7.2;	0.0;	0.13333333333333333
1376486161;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	184547.2;	0.0;	7.666666666666667;	0.0;	0.13333333333333333
1376486461;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	159383.2;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376486761;	1;	2599.999304;	12.133330085333332;	0.4666666666666666;	2097152.0;	201324.0;	0.0;	7.6;	0.0;	0.06666666666666667
1376487061;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	130022.4;	0.0;	7.4;	0.0;	0.13333333333333333
1376487361;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	152391.73333333334;	0.0;	7.733333333333333;	0.0;	0.06666666666666667
1376487661;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	176158.4;	0.0;	8.066666666666666;	0.0;	0.2
1376487961;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	152391.73333333334;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376488261;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	205518.93333333332;	0.0;	7.2;	0.0;	0.13333333333333333
1376488561;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	247461.6;	0.0;	9.066666666666666;	0.0;	0.6
1376488861;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	191537.86666666667;	2.066666666666667;	7.933333333333334;	0.0;	0.13333333333333333
1376489161;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	177556.53333333333;	0.0;	7.466666666666667;	0.0;	0.4
1376489461;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	190139.46666666667;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376489761;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	223693.33333333334;	0.0;	7.2;	0.0;	0.13333333333333333
1376490061;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	164974.66666666666;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376490362;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	164974.93333333332;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376490662;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	190139.73333333334;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376490962;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	148197.06666666668;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376491262;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	185946.13333333333;	0.0;	8.066666666666666;	0.0;	0.13333333333333333
1376491562;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	142604.8;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376491862;	1;	2599.999304;	12.133330085333332;	0.4666666666666666;	2097152.0;	130022.4;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376492162;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	276822.13333333336;	0.0;	8.933333333333334;	0.0;	0.6
1376492462;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	213907.46666666667;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376492762;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	149596.26666666666;	0.0;	7.8;	0.0;	0.4
1376493062;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	159382.4;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376493362;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	187343.2;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376493662;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	227888.53333333333;	0.0;	7.4;	0.0;	0.13333333333333333
1376493962;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	177557.6;	0.0;	7.2;	0.0;	0.13333333333333333
1376494261;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	202722.66666666666;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376494561;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	156586.13333333333;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376494861;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	139809.33333333334;	0.0;	8.0;	0.0;	0.06666666666666667
1376495161;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	178954.93333333332;	0.0;	8.266666666666667;	0.0;	0.13333333333333333
1376495461;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	184546.93333333332;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376495761;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	183149.86666666667;	0.0;	8.733333333333333;	0.0;	0.6
1376496061;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	191538.13333333333;	0.0;	7.6;	0.0;	0.06666666666666667
1376496362;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	170566.66666666666;	0.0;	7.266666666666667;	0.0;	0.3333333333333333
1376496662;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	163576.8;	0.0;	7.4;	0.0;	0.06666666666666667
1376496962;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	169169.33333333334;	0.0;	7.066666666666666;	0.0;	0.2
1376497262;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	159381.6;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376497562;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	155188.0;	0.0;	7.0;	0.0;	0.06666666666666667
1376497862;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	160780.0;	0.0;	7.4;	0.0;	0.06666666666666667
1376498162;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	194334.13333333333;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376498462;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	192935.73333333334;	0.0;	8.066666666666666;	0.0;	0.06666666666666667
1376498762;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	149596.26666666666;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376499062;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	160780.8;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376499362;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	211111.73333333334;	0.0;	9.0;	0.0;	0.6
1376499662;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	198527.73333333334;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376499962;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	197130.4;	0.0;	7.4;	0.0;	0.3333333333333333
1376500262;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	178956.0;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376500562;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	178954.66666666666;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376500862;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	177557.06666666668;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376501162;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	141207.46666666667;	0.0;	7.2;	0.0;	0.06666666666666667
1376501462;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	146799.2;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376501762;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	166373.06666666668;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376502062;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	173362.93333333332;	0.0;	8.0;	0.0;	0.06666666666666667
1376502362;	1;	2599.999304;	53.733318949333324;	2.0666666666666664;	2097152.0;	308978.4;	139.53333333333333;	20.6;	0.0;	0.2
1376502662;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	432011.4666666667;	0.0;	8.0;	0.0;	0.13333333333333333
1376502962;	1;	2599.999304;	29.466658778666666;	1.1333333333333333;	2097152.0;	246063.46666666667;	34.4;	11.733333333333333;	0.0;	0.7333333333333333
1376503263;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	251655.73333333334;	0.0;	7.733333333333333;	0.0;	0.13333333333333333
1376503563;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	177557.6;	0.0;	7.2;	0.0;	0.4
1376503863;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	188742.13333333333;	0.0;	7.4;	0.0;	0.13333333333333333
1376504163;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	180353.06666666668;	0.0;	7.133333333333334;	0.0;	0.13333333333333333
1376504463;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	176158.93333333332;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376504763;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	173362.93333333332;	0.0;	7.6;	0.0;	0.13333333333333333
1376505063;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	212508.8;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376505363;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	170567.73333333334;	0.0;	7.2;	0.0;	0.13333333333333333
1376505663;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	191538.66666666666;	0.0;	8.533333333333333;	0.0;	0.13333333333333333
1376505963;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	212509.06666666668;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376506263;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	166373.6;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376506563;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	219499.2;	0.0;	9.066666666666666;	0.0;	0.6666666666666666
1376506863;	1;	2599.999304;	438.5332159413333;	16.866666666666667;	2097152.0;	843053.6;	562.3333333333334;	1608.6;	313.53333333333336;	7.8
1376507163;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	645921.6;	0.0;	20.266666666666666;	0.0;	0.4
1376507463;	1;	2599.999304;	39.866655994666665;	1.5333333333333334;	2097152.0;	388670.4;	0.0;	9.6;	0.0;	0.06666666666666667
1376507763;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	268433.6;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376508063;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	213907.2;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376508363;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	222295.2;	0.0;	7.0;	0.0;	0.06666666666666667
1376508663;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	198527.73333333334;	0.0;	6.8;	0.0;	0.06666666666666667
1376508963;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	170566.66666666666;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376509263;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	202722.13333333333;	0.5333333333333333;	7.466666666666667;	0.0;	0.13333333333333333
1376509563;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	201324.8;	0.5333333333333333;	7.6;	0.0;	0.13333333333333333
1376509863;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	184546.93333333332;	0.0;	7.0;	0.0;	0.06666666666666667
1376510163;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	225091.73333333334;	2.3333333333333335;	8.533333333333333;	0.0;	0.6
1376510463;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	218102.13333333333;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376510763;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	178956.0;	0.0;	6.933333333333334;	0.0;	0.3333333333333333
1376511064;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	185945.33333333334;	0.0;	6.933333333333334;	0.0;	0.06666666666666667
1376511364;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	192934.93333333332;	0.0;	6.866666666666666;	0.0;	0.13333333333333333
1376511664;	1;	2599.999304;	12.133330085333332;	0.4666666666666666;	2097152.0;	191537.86666666667;	0.0;	6.8;	0.0;	0.06666666666666667
1376511964;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	180353.6;	0.0;	6.933333333333334;	0.0;	0.06666666666666667
1376512264;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	150993.33333333334;	0.0;	6.933333333333334;	0.0;	0.06666666666666667
1376512564;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	180353.6;	0.0;	7.0;	0.0;	0.06666666666666667
1376512864;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	167770.66666666666;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376513164;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	192936.0;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376513464;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	194333.33333333334;	0.0;	6.866666666666666;	0.0;	0.06666666666666667
1376513764;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	257247.73333333334;	0.0;	8.6;	0.0;	0.6
1376514064;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	176158.93333333332;	12.533333333333333;	18.133333333333333;	0.0;	0.06666666666666667
1376514364;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	178955.73333333334;	0.0;	7.6;	0.0;	0.3333333333333333
1376514664;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	229285.86666666667;	0.0;	6.666666666666667;	0.0;	0.06666666666666667
1376514964;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	201324.0;	0.0;	6.666666666666667;	0.0;	0.06666666666666667
1376515264;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	180354.13333333333;	0.0;	17.466666666666665;	0.0;	0.06666666666666667
1376515564;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	178954.66666666666;	0.0;	6.8;	0.0;	0.06666666666666667
1376515864;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	204120.53333333333;	0.0;	6.6;	0.0;	0.06666666666666667
1376516164;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	162179.2;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376516464;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	187343.46666666667;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376516764;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	187343.2;	0.0;	7.0;	0.0;	0.13333333333333333
1376517064;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	167770.4;	0.0;	7.0;	0.0;	0.13333333333333333
1376517365;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	195732.8;	0.0;	8.466666666666667;	0.0;	0.6666666666666666
1376517665;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	148197.86666666667;	0.0;	6.866666666666666;	0.0;	0.13333333333333333
1376517965;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	156586.13333333333;	7.6;	7.533333333333333;	0.0;	0.4
1376518265;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	141207.46666666667;	0.0;	6.933333333333334;	0.0;	0.13333333333333333
1376518565;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	166373.33333333334;	0.0;	7.2;	0.0;	0.13333333333333333
1376518865;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	202722.66666666666;	0.0;	6.733333333333333;	0.0;	0.13333333333333333
1376519165;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	192936.0;	0.0;	7.6;	0.0;	0.13333333333333333
1376519465;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	187344.53333333333;	2.2666666666666666;	7.133333333333334;	0.0;	0.13333333333333333
1376519765;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	190141.33333333334;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376520065;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	173363.73333333334;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376520365;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	163576.26666666666;	0.0;	7.466666666666667;	0.0;	0.2
1376520665;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	173363.46666666667;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376520965;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	223694.66666666666;	0.0;	8.733333333333333;	0.0;	0.6
1376521265;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	191538.93333333332;	0.0;	6.8;	0.0;	0.13333333333333333
1376521565;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	195733.6;	0.0;	7.666666666666667;	0.0;	0.4
1376521865;	1;	2599.999304;	155.99995823999998;	6.0;	2097152.0;	427817.6;	140.2;	22.533333333333335;	0.0;	0.2
1376522165;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	243267.2;	0.0;	7.2;	0.0;	0.2
1376522465;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	187342.93333333332;	34.4;	9.733333333333333;	0.0;	0.06666666666666667
1376522765;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	191538.4;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376523065;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	190140.0;	0.0;	6.933333333333334;	0.0;	0.06666666666666667
1376523365;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	181751.73333333334;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376523665;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	167770.93333333332;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376523965;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	167770.4;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376524265;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	164973.33333333334;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376524565;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	227888.26666666666;	0.0;	8.533333333333333;	0.0;	0.6
1376524865;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	181751.2;	0.0;	6.666666666666667;	0.0;	0.06666666666666667
1376525165;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	160779.73333333334;	0.0;	7.333333333333333;	0.0;	0.3333333333333333
1376525465;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	153789.6;	0.0;	7.0;	0.0;	0.06666666666666667
1376525765;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	171964.8;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376526065;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	213906.4;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376526365;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	177557.6;	0.0;	6.933333333333334;	0.0;	0.06666666666666667
1376526665;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	177557.33333333334;	0.2;	7.333333333333333;	0.0;	0.06666666666666667
1376526965;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	148198.13333333333;	0.0;	6.533333333333333;	0.0;	0.06666666666666667
1376527265;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	183149.6;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376527565;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	167770.66666666666;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376527865;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	159382.93333333332;	0.0;	7.0;	0.0;	0.06666666666666667
1376528165;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	202722.13333333333;	0.0;	8.533333333333333;	0.0;	0.5333333333333333
1376528465;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	212508.53333333333;	0.0;	6.933333333333334;	0.0;	0.06666666666666667
1376528765;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	171966.13333333333;	0.0;	6.866666666666666;	0.0;	0.4
1376529065;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	204121.06666666668;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376529365;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	181750.93333333332;	0.0;	6.666666666666667;	0.0;	0.06666666666666667
1376529666;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	171965.06666666668;	0.0;	6.933333333333334;	0.0;	0.06666666666666667
1376529966;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	130022.4;	0.0;	7.0;	0.0;	0.06666666666666667
1376530266;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	166372.53333333333;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376530566;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	187344.0;	0.0;	6.8;	0.0;	0.06666666666666667
1376530866;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	205518.93333333332;	0.0;	7.866666666666666;	0.0;	0.13333333333333333
1376531166;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	190140.0;	0.0;	6.933333333333334;	0.0;	0.13333333333333333
1376531466;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	144003.46666666667;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376531766;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	218101.86666666667;	0.0;	9.066666666666666;	0.0;	0.8
1376532066;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	209713.6;	0.0;	7.2;	0.0;	0.13333333333333333
1376532366;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	215305.6;	0.0;	6.933333333333334;	0.0;	0.4
1376532666;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	174760.0;	0.0;	6.866666666666666;	0.0;	0.13333333333333333
1376532966;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	180353.33333333334;	0.0;	7.0;	0.0;	0.2
1376533266;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	222295.46666666667;	0.0;	6.866666666666666;	0.0;	0.13333333333333333
1376533566;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	211110.66666666666;	0.0;	6.8;	0.0;	0.13333333333333333
1376533866;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	181751.46666666667;	0.0;	6.866666666666666;	0.0;	0.13333333333333333
1376534166;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	184547.2;	0.0;	6.866666666666666;	0.0;	0.13333333333333333
1376534466;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	195732.26666666666;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376534766;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	177556.8;	0.0;	7.066666666666666;	0.0;	0.2
1376535066;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	194333.33333333334;	0.0;	6.933333333333334;	0.0;	0.13333333333333333
1376535366;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	225092.0;	0.0;	8.6;	0.0;	0.6666666666666666
1376535666;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	176160.0;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376535966;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	184547.46666666667;	0.0;	7.533333333333333;	0.0;	0.4
1376536266;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	141206.4;	0.0;	6.933333333333334;	0.0;	0.13333333333333333
1376536566;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	149594.93333333332;	0.0;	6.733333333333333;	0.0;	0.2
1376536866;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	184548.0;	0.0;	7.2;	0.0;	0.13333333333333333
1376537166;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	150994.4;	0.0;	7.0;	0.0;	0.06666666666666667
1376537466;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	145401.86666666667;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376537766;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	155187.2;	0.0;	8.066666666666666;	0.0;	0.06666666666666667
1376538066;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	180353.33333333334;	0.0;	7.8;	0.0;	0.06666666666666667
1376538366;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	157984.53333333333;	0.0;	6.8;	0.0;	0.06666666666666667
1376538666;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	178955.2;	0.0;	7.2;	0.0;	0.06666666666666667
1376538967;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	230684.0;	0.0;	8.866666666666667;	0.0;	0.6
1376539267;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	213907.46666666667;	0.0;	3.6666666666666665;	0.0;	0.06666666666666667
1376539567;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	157984.26666666666;	0.0;	7.2;	0.0;	0.3333333333333333
1376539867;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	156586.13333333333;	0.0;	7.2;	0.0;	0.06666666666666667
